Sample Name,Reservoir,Date,Date analyzed,Station,Depth,Rep,Dilution,a254,a350,Sr,Max Fl Ex ,Max Fl Em ,Max Fl ,B,T,A,C,M,N,FI,BIX,HIX,T/B,T/M,T/N,T/C,A/T,A/C,A/M,M/C,C/N
B29Apr19_01_R1.csv,BVR,4/29/2019,7/28/2020,1,0.1,1,1,,,,240,484,15.85787922,0.079601996,0.070172232,0.135645598,0.062788053,0.062323109,0.063014765,1.382938814,0.663007959,2.306118103,0.881538592,1.125942404,1.113583963,1.117604834,1.933038113,2.16037274,2.17648958,0.99259503,0.996402243
B29Apr19_20_R1.csv,BVR,4/29/2019,7/29/2020,20,0.1,1,1,,,,300,300,10.1005285,0.064425139,0.060811355,0.130748932,0.061752117,0.057102966,0.058030192,1.424482543,0.644513323,2.598217352,0.943907238,1.064942134,1.047926136,0.9847655,2.150074325,2.117319017,2.28970474,0.924712685,1.064137743
B29Apr19_30_R2.csv,BVR,4/29/2019,7/29/2020,30,0.1,2,1,,,,300,300,10.28711072,0.057783291,0.057936704,0.134385945,0.06457732,0.057287322,0.05427763,1.38805035,0.621849611,2.809203166,1.002654976,1.011335527,1.067414037,0.897167992,2.319530365,2.0810084,2.345823464,0.887112109,1.189759384
B29Apr19_45_R1.csv,BVR,4/29/2019,7/30/2020,45,0.1,1,1,,,,300,300,7.973405956,0.055913451,0.049199502,0.128354262,0.062030741,0.054648515,0.050509525,1.413137764,0.64707417,3.017423335,0.879922482,0.900289823,0.974063851,0.793147096,2.608852861,2.069204071,2.34872368,0.88099085,1.228099877
B29Apr19_50_R1.csv,BVR,4/29/2019,7/29/2020,50,0.1,1,1,,,,300,300,9.089046286,0.045063642,0.051971504,0.130026709,0.062403564,0.055409216,0.051614868,1.392154147,0.628622542,3.260264442,1.153291234,0.937957752,1.006909555,0.83282909,2.501884676,2.083642338,2.346662127,0.887917487,1.209023035
B29Apr19_100_R1.csv,BVR,4/29/2019,7/30/2020,100,0.1,1,1,,,,310,310,17.56685525,0.041706395,0.03487737,0.133338239,0.066879949,0.048169956,0.040068091,1.401882823,0.564924349,3.692916539,0.836259538,0.724048216,0.870452505,0.521492181,3.823058828,1.993695288,2.768078926,0.720245102,1.669157346
B29Apr19_200_R2.csv,BVR,4/29/2019,7/28/2020,200,0.1,2,1,,,,300,300,18.51981711,0.106561909,0.091690452,0.186698196,0.092076223,0.093078275,0.087152885,1.43925544,0.618391632,2.679375912,0.860443036,0.985089724,1.052064446,0.995810308,2.036179252,2.027648288,2.005819256,1.010882851,1.056490817
F29Apr19_01_R1.csv,FCR,4/29/2019,7/29/2020,1,0.1,1,1,,,,305,304,16.51520593,0.062290364,0.060785004,0.192973267,0.088843328,0.073816192,0.065788405,1.41407332,0.59990219,3.411140608,0.975833165,0.823464362,0.923947064,0.684181974,3.174685469,2.172062569,2.614240343,0.830858025,1.350440525
F29Apr19_20_R1.csv,FCR,4/29/2019,7/29/2020,20,0.1,1,1,,,,300,300,12.68419584,0.054691404,0.051613705,0.17301815,0.08125746,0.065448334,0.05686892,1.416960792,0.592625903,3.426091039,0.943726083,0.788617553,0.907590732,0.635187275,3.352174605,2.129258654,2.643583733,0.805443999,1.428855342
F29Apr19_30_R1.csv,FCR,4/29/2019,7/27/2020,30,0.1,1,1,,,,310,310,8.781063231,0.172646276,0.046228741,0.158757892,0.079704026,0.063486585,0.052956671,1.406473213,0.59493102,4.567538635,0.267765642,0.728165496,0.872954067,0.58000509,3.434181617,1.991842817,2.500652559,0.796529214,1.505080011
F29Apr19_45_R1.csv,FCR,4/29/2019,7/30/2020,45,0.1,1,1,,,,300,300,6.754202858,0.035403116,0.041661125,0.159255354,0.079222889,0.06275364,0.050783566,1.401139635,0.578123701,4.957561981,1.176764365,0.663883806,0.820366273,0.525872329,3.822636909,2.010218973,2.537786741,0.792115012,1.560010344
F29Apr19_50_R1.csv,FCR,4/29/2019,7/27/2020,50,0.1,1,1,,,,300,300,7.414924884,0.170823468,0.045064776,0.158052883,0.079179221,0.06274227,0.051750499,1.395623268,0.599307899,4.24271384,0.263809046,0.718252239,0.870808536,0.569149021,3.507237716,1.996140913,2.519081341,0.79240828,1.530018508
F29Apr19_99_R1.csv,FCR,4/29/2019,7/30/2020,99,0.1,1,1,,,,300,300,10.1052928,0.044628498,0.041192385,0.121851904,0.060454524,0.048901233,0.044378092,1.446473748,0.620116282,3.469205021,0.923006303,0.842358819,0.928214418,0.681378031,2.958117241,2.015596102,2.491796146,0.808892856,1.362260559
F29Apr19_100_R1.csv,FCR,4/29/2019,7/27/2020,100,0.1,1,1,,,,300,300,10.42622599,0.185359789,0.045476081,0.119998961,0.059969357,0.049002653,0.045391576,1.422609634,0.637593603,3.210889668,0.245339516,0.928033033,1.00186169,0.758321972,2.638726969,2.001004637,2.448825792,0.81712821,1.321156089
F29Apr19_101_R1.csv,FCR,4/29/2019,7/27/2020,101,0.1,1,1,,,,300,300,11.4025096,0.235269708,0.095724761,0.138875783,0.064226043,0.069180751,0.074945627,1.461828508,0.682650198,1.80157705,0.406872442,1.383690689,1.277256113,1.490435273,1.450782242,2.162297028,2.00743388,1.077144831,0.856968522
F29Apr19_102_R1.csv,FCR,4/29/2019,7/30/2020,102,0.1,1,1,,,,300,300,9.269405764,0.048907207,0.047639708,0.12276873,0.058838357,0.052286707,0.047074476,1.416037843,0.642892521,3.010547542,0.974083601,0.911124658,1.01200719,0.809670942,2.57702523,2.086542446,2.347991231,0.888650016,1.249899357
