Sample Name,Reservoir,Date,Date analyzed,Station,Depth,Rep,Dilution,a254,a350,S275-295,S350-400,Sr
PonyLake,,,9/5/2019,,,,1,35.6965,9.6726,3.243977,1.870652,1.734142
SuwanneeRiver,,,9/5/2019,,,,1,46.7509,12.4362,3.478593289,2.022575734,1.719882836
F13Jun19_SurfR1,FCR,6/13/2019,9/5/2019,50,0.1,1,1,15.6604,5.5272,2.488803896,1.446445835,1.720634009
F13Jun19_9R1,FCR,6/13/2019,9/5/2019,50,9,1,1,8.7514,3.6848,1.878042,1.075142,1.746785
F15Jul19_9mR2,FCR,7/15/2019,9/9/2019,50,9,2,1,10.5938,5.5272,2.127776805,1.607787331,1.323419313
F27May19_5mR1,FCR,5/27/2019,9/9/2019,50,5,1,1,9.4423,3.6848,1.947282014,1.103357321,1.7648698
F27May19_0.1mR1,FCR,5/27/2019,9/9/2019,50,0.1,1,1,11.515,4.1454,2.145607518,1.130453486,1.898006017
F03Jul19_9mR2,FCR,7/3/2019,9/9/2019,50,9,2,1,11.2847,5.9878,2.211662441,1.679742499,1.31666755
F3Jul19_0.1mR1,FCR,7/3/2019,9/9/2019,50,0.1,1,1,15.6604,5.0666,2.441020507,1.336049927,1.827042881
F3Jul19_0.1mR1_1:2,FCR,7/3/2019,9/9/2019,50,0.1,1,2,15.1998,5.0666,2.412649206,1.33285489,1.81013644
F27May19_9mR2,FCR,5/27/2019,9/9/2019,50,9,2,1,10.5938,4.3757,2.13842422,1.293876614,1.65272654
F27May19_9mR2_1:2,FCR,5/27/2019,9/9/2019,50,9,2,2,10.5938,4.1454,2.108971011,1.217219577,1.732613451
F03Jul19_0.1mR1_Flt,FCR,7/3/2019,9/9/2019,50,0.1,1,1,19.1149,7.3696,2.667569922,1.821928799,1.464146087
F27May19_9mR2_1:2,FCR,5/27/2019,9/9/2019,50,9,2,2,10.5938,4.606,2.141035037,1.362640171,1.571240216
F15Jul19_0.1mR1,FCR,7/15/2019,9/9/2019,50,0.1,1,1,17.9634,5.7575,2.589382285,1.395465738,1.855568513
F15Jul19_0.1mR1_1:2,FCR,7/15/2019,9/9/2019,50,0.1,1,2,17.9634,5.5272,2.578618184,1.353697128,1.904870839
F3Jul19_5mR1,FCR,7/3/2019,9/9/2019,50,5,1,1,12.6665,4.8363,2.283472915,1.310000358,1.743108619
F3Jul19_5mR1_1:2,FCR,7/3/2019,9/9/2019,50,5,1,2,12.8968,5.5272,2.32823233,1.475415596,1.578017974
F13Jun19_5mR1,FCR,6/13/2019,9/9/2019,50,5,1,1,8.5211,2.7636,1.830903743,0.760861544,2.406356002
F15Jul19_5mR2,FCR,7/15/2019,9/9/2019,50,5,2,1,12.4362,4.606,2.251703746,1.256318492,1.792303274
F15Jul19_5mR2_1:2,FCR,7/15/2019,9/9/2019,50,5,2,2,12.8968,4.606,2.291061073,1.325542304,1.728395289
PonyLake,,,9/30/2019,,,,1,35.9268,9.9029,3.244347655,1.874392666,1.730879401
PonyLake Dil 1:2,,,9/30/2019,,,,2,35.4662,9.6726,3.226819222,1.839858888,1.753840603
PonyLake Dil 1:4,,,9/30/2019,,,,4,35.9268,10.1332,3.237173766,1.878226767,1.723526586
SuwanneeRiver,,,9/30/2019,,,,1,46.7509,12.4362,3.471546181,2.010704829,1.726531976
SuwanneeRiver Dil 1:2,,,9/30/2019,,,,2,46.9812,12.4362,3.479523624,2.025173275,1.718136254
SuwanneeRiver Dil 1:4,,,9/30/2019,,,,4,48.8236,12.8968,3.503423941,2.063087796,1.698145832
F15Jul19_5mR1,FCR,7/15/2019,9/30/2019,50,5,1,1,13.3574,5.5272,2.327979621,1.490111909,1.562285092
F15Jul19_5mR1_Dil1:2,FCR,7/15/2019,9/30/2019,50,5,1,2,13.3574,5.5272,2.305268608,1.454009826,1.585456003
F3Jul19_5mR1,FCR,7/3/2019,9/30/2019,50,5,1,1,12.8968,5.9878,2.317015201,1.596795535,1.451040631
F3Jul19_5mR1_Dil1:2,FCR,7/3/2019,9/30/2019,50,5,1,2,13.3574,5.9878,2.330925494,1.596315154,1.460191296
F3Jul19_5mR1_Flt,FCR,7/3/2019,9/30/2019,50,5,1,1,9.9029,2.9939,1.979944003,0.83420033,2.373463461
F3Jul19_5mR1_FltDil1:2,FCR,7/3/2019,9/30/2019,50,5,1,2,9.6726,3.2242,1.945018095,0.765444856,2.541029679
F14Aug19_5mR1,FCR,8/14/2019,9/30/2019,50,5,1,1,19.1149,11.9756,2.767769354,2.34629562,1.179633687
F14Aug19_5mR1_Dil1:2,FCR,8/14/2019,9/30/2019,50,5,1,2,21.6482,12.4362,2.882410899,2.378850967,1.211682001
F14Aug19_0.1mR2,FCR,8/14/2019,9/30/2019,50,0.1,2,1,22.5694,8.0605,2.815913533,1.771656592,1.589424015
F14Aug19_0.1mR1_Dil1:2,FCR,8/14/2019,9/30/2019,50,0.1,1,2,23.03,7.8302,2.827185833,1.749753069,1.615762751
F14Aug19_9mR2,FCR,8/14/2019,9/30/2019,50,9,2,1,14.7392,8.9817,2.501158593,2.061809776,1.213088919
F14Aug19_9mR2_Dil1:2,FCR,8/14/2019,9/30/2019,50,9,2,2,14.2786,8.7514,2.446398856,2.079291834,1.176553871
F14Aug19_9mR2_Flt,FCR,8/14/2019,9/30/2019,50,9,2,1,9.4423,4.1454,1.981594853,1.229650296,1.611510898
F14Aug19_9mR2_FltDil1:2,FCR,8/14/2019,9/30/2019,50,9,2,2,9.212,3.6848,1.952474486,1.124325987,1.736573296
F22Aug19_9mR1,FCR,8/22/2019,9/30/2019,50,9,1,1,29.7087,14.9695,3.162019132,2.523418824,1.253069487
F22Aug19_9mR2_Dil1:2,FCR,8/22/2019,9/30/2019,50,9,2,2,29.4784,15.1998,3.151108,2.524615,1.248154
F13Jun19_0.1R5,FCR,6/13/2019,11/15/2019,50,0.1,5,1,12.2059,3.9151,2.166744112,1.137372656,1.90504326
F13Jun19_0.1R5_Dil1:2,FCR,6/13/2019,11/15/2019,50,0.1,5,2,12.8968,4.1454,2.217004177,1.2147063,1.825135983
F13Jun19_0.1R5_Dil1:2_ReRun,FCR,6/13/2019,11/15/2019,50,0.1,5,2,12.4362,4.1454,2.165048516,1.189567822,1.82002949
F28Aug19_3.8R1,FCR,8/28/2019,11/15/2019,50,3.8,1,1,14.9695,5.7575,2.406799251,1.60019609,1.504065199
F28Aug19_3.8R1_Dil1:4,FCR,8/28/2019,11/15/2019,50,3.8,1,4,13.818,3.6848,2.285174014,1.20141594,1.902067334
F28Aug19_3.8R1_Dil1:8,FCR,8/28/2019,11/15/2019,50,3.8,1,8,14.7392,5.5272,2.31600875,1.502973656,1.540950994
F28Aug19_9R1,FCR,8/28/2019,11/15/2019,50,9,1,1,16.3513,8.0605,2.587279829,1.900328623,1.361490743
F28Aug19_9mR1_Dil1:2,FCR,8/28/2019,11/15/2019,50,9,1,2,16.5816,8.2908,2.600587654,1.92192509,1.353116033
F11Sep19_0.1mR1,FCR,9/11/2019,11/15/2019,50,0.1,1,1,17.0422,4.8363,2.472495526,1.271517832,1.944522887
F11Sep19_0.1mR1_Dil1:2,FCR,9/11/2019,11/15/2019,50,0.1,1,2,16.5816,4.1454,2.43873,1.192539,2.044989
F13Jun19_0.1mR2,FCR,6/13/2019,1/14/2020,50,0.1,2,1,14.5089,5.5272,2.407025163,1.478740333,1.627753778
F22Aug19_0.1mR1,FCR,8/22/2019,1/14/2020,50,0.1,1,1,22.7997,7.5999,2.829637291,1.70311477,1.661448389
F22Aug19_0.1mR1_Dil,FCR,8/22/2019,1/14/2020,50,0.1,1,2,24.8724,10.1332,2.956395002,2.098176143,1.409030892
F22Aug19_5mR1,FCR,8/22/2019,1/14/2020,50,5,1,1,25.5633,14.9695,3.055234267,2.597817538,1.176077312
F22Aug19_5mR1_Dil,FCR,8/22/2019,1/14/2020,50,5,1,2,20.2664,11.515,2.808643,2.278632,1.2326
F28Aug19_0.1R2,FCR,8/28/2019,1/14/2020,50,0.1,2,1,24.4118,8.9817,2.915674163,1.927370523,1.512773039
F28Aug19_0.1R2_Dil,FCR,8/28/2019,1/14/2020,50,0.1,2,2,24.4118,9.212,2.924245341,1.968801149,1.485292378
F28Aug19_5mR2,FCR,8/28/2019,1/14/2020,50,5,2,1,22.3391,9.9029,2.804694853,2.150729022,1.304067051
F28Aug19_5mR2_Dil,FCR,8/28/2019,1/14/2020,50,5,2,2,21.6482,9.212,2.754126,2.055165,1.3401
F11Sep19_9mR2,FCR,9/11/2019,1/14/2020,50,9,2,1,8.0605,3.4545,1.825299,1.080239,1.689717
F11Sep19_5R2,FCR,9/11/2019,1/16/2020,50,5,2,1,26.0239,11.515,3.070847712,2.26650088,1.354884853
F11Sep19_5R2_Dil,FCR,9/11/2019,1/16/2020,50,5,2,2,26.2542,11.0544,3.070088047,2.197262803,1.397232977
