"time","depth","temp","DO","chla"
2019-01-21,0.1,2.3,13.1,NA
2019-01-21,0.8,2.3,13.08,NA
2019-01-21,1.6,2.4,13.05,NA
2019-01-21,2.8,2.5,13.06,NA
2019-01-21,3.8,2.7,12.99,NA
2019-01-21,5,3,12.9,NA
2019-01-21,6.2,3.3,12.85,NA
2019-01-21,8,3.4,12.86,NA
2019-01-21,9,3.4,12.83,NA
2019-01-21,9.5,3.4,12.82,NA
2019-02-08,0.01,4.8821,10.3207,1.0419
2019-02-08,0.027,4.8832,10.3172,0.977
2019-02-08,0.042,4.8848,10.3196,1.0075
2019-02-08,0.067,4.8849,10.3339,0.9961
2019-02-08,0.096,4.886,10.3298,0.9923
2019-02-08,0.124,4.887,10.3291,0.9885
2019-02-08,0.145,4.8871,10.3258,0.9808
2019-02-08,0.159,4.887,10.33,0.9961
2019-02-08,0.179,4.8871,10.3408,0.9885
2019-02-08,0.204,4.8873,10.3489,1.0495
2019-02-08,0.224,4.8871,10.3442,1.0686
2019-02-08,0.244,4.8868,10.3494,1.0533
2019-02-08,0.262,4.887,10.3514,1.0457
2019-02-08,0.276,4.8869,10.3513,1.0609
2019-02-08,0.29,4.8866,10.3485,1.0533
2019-02-08,0.305,4.8892,10.3374,1.2402
2019-02-08,0.306,4.8869,10.3427,1.0419
2019-02-08,0.31,4.8883,10.344,1.2326
2019-02-08,0.311,4.8922,10.3394,1.2555
2019-02-08,0.317,4.8868,10.3417,1.0953
2019-02-08,0.318,4.8909,10.34215,1.1601
2019-02-08,0.322,4.8955,10.3393,1.1906
2019-02-08,0.33,4.8965,10.3377,1.183
2019-02-08,0.335,4.8969,10.3394,1.1945
2019-02-08,0.337,4.8974,10.3516,1.1868
2019-02-08,0.34,4.8977,10.3593,1.183
2019-02-08,0.344,4.897,10.3602,1.1563
2019-02-08,0.362,4.8971,10.361,1.1639
2019-02-08,0.387,4.899,10.3574,1.2173
2019-02-08,0.406,4.9008,10.3549,1.0686
2019-02-08,0.423,4.9017,10.3564,1.0342
2019-02-08,0.438,4.9022,10.3493,1.0419
2019-02-08,0.45,4.9024,10.3473,1.0609
2019-02-08,0.458,4.9024,10.3476,1.0419
2019-02-08,0.467,4.9028,10.3507,1.0876
2019-02-08,0.481,4.9027,10.3529,1.1258
2019-02-08,0.497,4.9026,10.3608,1.0953
2019-02-08,0.513,4.9026,10.361,1.1258
2019-02-08,0.531,4.9024,10.3545,1.1792
2019-02-08,0.551,4.9025,10.3528,1.1525
2019-02-08,0.566,4.9023,10.3512,1.1678
2019-02-08,0.574,4.901,10.3491,1.1906
2019-02-08,0.585,4.9004,10.3413,1.1639
2019-02-08,0.6,4.9009,10.3384,1.1754
2019-02-08,0.612,4.8988,10.3385,1.1716
2019-02-08,0.623,4.8976,10.342,1.1678
2019-02-08,0.636,4.8997,10.3437,1.2517
2019-02-08,0.653,4.9004,10.3418,1.244
2019-02-08,0.67,4.8993,10.3397,1.2326
2019-02-08,0.687,4.8982,10.3444,1.2517
2019-02-08,0.703,4.8977,10.3552,1.1525
2019-02-08,0.719,4.897,10.3444,1.1678
2019-02-08,0.739,4.8946,10.3505,1.1639
2019-02-08,0.757,4.8923,10.3515,1.2059
2019-02-08,0.775,4.8926,10.3516,1.1868
2019-02-08,0.792,4.8924,10.3582,1.1792
2019-02-08,0.806,4.8918,10.361,1.1906
2019-02-08,0.824,4.8915,10.3615,1.183
2019-02-08,0.841,4.8896,10.3617,1.1868
2019-02-08,0.857,4.8884,10.3628,1.1067
2019-02-08,0.873,4.8869,10.3633,1.1029
2019-02-08,0.889,4.886,10.3625,1.1067
2019-02-08,0.905,4.8861,10.3636,1.1258
2019-02-08,0.922,4.8844,10.3605,1.0686
2019-02-08,0.941,4.883,10.3576,1.0228
2019-02-08,0.957,4.8817,10.351,1.0457
2019-02-08,0.974,4.8798,10.3551,1.0533
2019-02-08,0.991,4.8777,10.3547,1.019
2019-02-08,1.008,4.8756,10.3565,0.9923
2019-02-08,1.025,4.8739,10.3582,1.0113
2019-02-08,1.046,4.8721,10.3649,0.9923
2019-02-08,1.065,4.8698,10.3751,1.1029
2019-02-08,1.083,4.868,10.3765,1.1182
2019-02-08,1.101,4.8668,10.3757,1.1029
2019-02-08,1.117,4.8662,10.3822,1.1182
2019-02-08,1.134,4.866,10.3796,1.0991
2019-02-08,1.154,4.8657,10.3828,1.183
2019-02-08,1.173,4.8637,10.3822,1.1678
2019-02-08,1.189,4.8589,10.378,1.1792
2019-02-08,1.201,4.8513,10.3806,1.2059
2019-02-08,1.213,4.8407,10.3862,1.2326
2019-02-08,1.229,4.8289,10.3874,1.2517
2019-02-08,1.244,4.822,10.378,1.2402
2019-02-08,1.256,4.8201,10.3858,1.244
2019-02-08,1.266,4.8176,10.3817,1.3356
2019-02-08,1.276,4.815,10.3785,1.347
2019-02-08,1.286,4.8119,10.3804,1.3852
2019-02-08,1.297,4.8079,10.3754,1.3814
2019-02-08,1.307,4.8044,10.3817,1.3432
2019-02-08,1.32,4.8032,10.3828,1.3699
2019-02-08,1.33,4.8043,10.3819,1.3547
2019-02-08,1.343,4.805,10.3918,1.3699
2019-02-08,1.362,4.8051,10.4034,1.4272
2019-02-08,1.381,4.8073,10.4064,1.4195
2019-02-08,1.4,4.8115,10.4059,1.4233
2019-02-08,1.416,4.8149,10.4034,1.4119
2019-02-08,1.431,4.8172,10.4105,1.4157
2019-02-08,1.446,4.8164,10.4078,1.4806
2019-02-08,1.461,4.8103,10.4118,1.5149
2019-02-08,1.477,4.8059,10.4052,1.4767
2019-02-08,1.494,4.7964,10.4184,1.4882
2019-02-08,1.508,4.7718,10.4199,1.5263
2019-02-08,1.522,4.7488,10.4313,1.553
2019-02-08,1.536,4.7391,10.4341,1.534
2019-02-08,1.548,4.7359,10.434,1.5607
2019-02-08,1.561,4.7345,10.4281,1.5378
2019-02-08,1.575,4.7343,10.4339,1.5416
2019-02-08,1.588,4.7359,10.4347,1.5683
2019-02-08,1.602,4.7355,10.4297,1.5378
2019-02-08,1.616,4.7275,10.4315,1.6026
2019-02-08,1.629,4.7099,10.4227,1.6179
2019-02-08,1.644,4.691,10.4322,1.6293
2019-02-08,1.659,4.679,10.4309,1.6446
2019-02-08,1.674,4.6706,10.4266,1.6332
2019-02-08,1.69,4.6637,10.4247,1.6789
2019-02-08,1.705,4.6603,10.4232,1.6675
2019-02-08,1.719,4.6581,10.4164,1.6522
2019-02-08,1.733,4.6553,10.4148,1.698
2019-02-08,1.745,4.6571,10.4086,1.6751
2019-02-08,1.757,4.6644,10.4031,1.6827
2019-02-08,1.769,4.6708,10.4059,1.6713
2019-02-08,1.782,4.6743,10.4079,1.6827
2019-02-08,1.794,4.6769,10.415,1.7247
2019-02-08,1.807,4.6786,10.4159,1.74
2019-02-08,1.821,4.6792,10.4169,1.7667
2019-02-08,1.838,4.6803,10.4112,1.7629
2019-02-08,1.854,4.6826,10.4185,1.7438
2019-02-08,1.869,4.6852,10.426,1.7362
2019-02-08,1.89,4.6876,10.4184,1.7323
2019-02-08,1.907,4.6894,10.4247,1.74
2019-02-08,1.919,4.6873,10.4262,1.9193
2019-02-08,1.925,4.6813,10.4202,1.9193
2019-02-08,1.933,4.6751,10.4243,1.9154
2019-02-08,1.95,4.6728,10.4222,1.8964
2019-02-08,1.97,4.6736,10.4174,1.9116
2019-02-08,1.986,4.6743,10.4183,1.9498
2019-02-08,2.002,4.6749,10.4122,1.9765
2019-02-08,2.015,4.6751,10.4123,1.9841
2019-02-08,2.026,4.6747,10.4126,1.9727
2019-02-08,2.047,4.6741,10.4205,1.9765
2019-02-08,2.07,4.6783,10.4151,1.9879
2019-02-08,2.089,4.6884,10.4229,2.007
2019-02-08,2.106,4.6935,10.4245,1.9765
2019-02-08,2.125,4.6937,10.4193,2.0909
2019-02-08,2.14,4.6951,10.428,2.1024
2019-02-08,2.155,4.6984,10.4248,2.1024
2019-02-08,2.17,4.7029,10.4249,2.1176
2019-02-08,2.184,4.7053,10.4304,2.2931
2019-02-08,2.198,4.7044,10.4303,2.2817
2019-02-08,2.214,4.6999,10.4298,2.2817
2019-02-08,2.233,4.69,10.4363,2.2817
2019-02-08,2.249,4.6786,10.432,2.255
2019-02-08,2.264,4.6706,10.4291,2.2855
2019-02-08,2.278,4.6664,10.4395,2.3046
2019-02-08,2.29,4.6644,10.4403,2.255
2019-02-08,2.305,4.6583,10.4491,2.2702
2019-02-08,2.318,4.6428,10.4454,2.4075
2019-02-08,2.332,4.6326,10.449,2.3961
2019-02-08,2.345,4.6348,10.4519,2.419
2019-02-08,2.359,4.6346,10.4566,2.3885
2019-02-08,2.373,4.628,10.4565,2.77
2019-02-08,2.388,4.6224,10.4534,2.7967
2019-02-08,2.405,4.6184,10.4554,2.7623
2019-02-08,2.42,4.6097,10.4537,2.7623
2019-02-08,2.434,4.5983,10.4501,2.8768
2019-02-08,2.448,4.5884,10.4493,2.9187
2019-02-08,2.462,4.5807,10.4526,2.8806
2019-02-08,2.478,4.5758,10.4592,2.8615
2019-02-08,2.495,4.5727,10.4595,3.1324
2019-02-08,2.51,4.5706,10.4604,3.1438
2019-02-08,2.526,4.5691,10.4665,3.1743
2019-02-08,2.543,4.5681,10.4643,3.14
2019-02-08,2.56,4.5677,10.4638,3.1171
2019-02-08,2.575,4.5678,10.4586,3.3269
2019-02-08,2.59,4.5681,10.4579,3.3269
2019-02-08,2.606,4.5679,10.4529,3.3155
2019-02-08,2.619,4.5672,10.4554,3.3231
2019-02-08,2.633,4.5662,10.4537,3.2125
2019-02-08,2.65,4.5662,10.4516,3.1934
