Reservoir,Site,DateTime,Depth_m,TN_ugL,TP_ugL,NH4_ugL,NO3NO2_ugL,SRP_ugL,DOC_mgL,Chla_ugL,Flow_cms,Method,connectivity,overflow,DIC_mgL,DC_mgL,DN_mgL,Flag_TN,Flag_TP,Flag_NH4,Flag_NO3NO2,Flag_SRP,Flag_DOC,Flag_Chla,Flag_Flow,Flag_DIC,Flag_DC,Flag_DN
BVR,20,2019-04-29T12:00:00Z,0.1,166.5,4.9,5,0,1,3.3,1.66112,NA,NA,1,0,NA,NA,NA,3,0,0,43,3,0,0,NA,FALSE,FALSE,FALSE
BVR,30,2019-04-29T12:00:00Z,0.1,186,6.2,7,0,2,2.7,1.83296,NA,NA,1,0,NA,NA,NA,3,0,0,43,3,0,0,NA,FALSE,FALSE,FALSE
BVR,45,2019-04-29T12:00:00Z,0.1,132,4.8,6,3,0,1.6,2.69216,NA,NA,1,0,NA,NA,NA,3,0,0,0,3,0,0,NA,FALSE,FALSE,FALSE
BVR,50,2019-04-29T12:00:00Z,0.1,126,3.5,7,3,4,3.5,2.69216,NA,NA,1,0,NA,NA,NA,73,73,0,0,0,7,0,NA,NA,NA,NA
BVR,20,2019-05-30T12:00:00Z,0.1,190.5,4.6,7,0,1,3.2,1.54656,NA,NA,1,0,NA,NA,NA,3,0,0,43,3,0,0,NA,FALSE,FALSE,FALSE
BVR,30,2019-05-30T12:00:00Z,0.1,213,5.8,2,3,1,2.1,1.7184,NA,NA,1,0,NA,NA,NA,0,0,3,0,3,0,0,NA,FALSE,FALSE,FALSE
BVR,45,2019-05-30T12:00:00Z,0.1,118.5,4,6,3,2,1.9,1.03104,NA,NA,1,0,NA,NA,NA,3,3,0,0,3,0,0,NA,FALSE,FALSE,FALSE
BVR,50,2019-05-30T12:00:00Z,0.1,176.2,3.5,6,0,0,3.4,1.37472,NA,NA,1,0,NA,NA,NA,73,73,0,43,3,7,0,NA,NA,NA,NA
BVR,20,2019-06-27T12:00:00Z,0.1,150,6.8,6,2,8,2.8,1.37472,NA,NA,1,0,NA,NA,NA,3,0,7,73,7,7,0,NA,NA,NA,NA
BVR,30,2019-06-27T12:00:00Z,0.1,165,6.8,8,3,6,3.2,1.11696,NA,NA,1,0,NA,NA,NA,3,0,7,73,7,7,0,NA,NA,NA,NA
BVR,45,2019-06-27T12:00:00Z,0.1,196.5,3.7,10,3,7,3.4,1.11696,NA,NA,1,0,NA,NA,NA,3,3,0,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,50,2019-06-27T12:00:00Z,0.1,153,6.8,6,2,5,3.4,0.8592,NA,NA,1,0,NA,NA,NA,3,0,7,73,7,7,0,NA,NA,NA,NA
BVR,20,2019-07-18T12:00:00Z,0.1,154.5,4.6,5,3,2,2.3,2.06208,NA,NA,2,0,NA,NA,NA,3,0,0,0,3,0,0,NA,FALSE,FALSE,FALSE
BVR,30,2019-07-18T12:00:00Z,0.1,180,4.5,7,3,1,4.5,2.2912,NA,NA,2,0,NA,NA,NA,3,0,0,0,3,0,0,NA,FALSE,FALSE,FALSE
BVR,45,2019-07-18T12:00:00Z,0.1,168,6,6,3,1,2.1,1.83296,NA,NA,2,0,NA,NA,NA,3,0,0,0,3,0,0,NA,FALSE,FALSE,FALSE
BVR,50,2019-07-18T12:00:00Z,0.1,299.2,3,6,1,3,2.7,1.49426087,NA,NA,2,0,NA,NA,NA,7,73,7,73,7,0,0,NA,FALSE,FALSE,FALSE
BVR,20,2019-08-22T12:00:00Z,0.1,287,10.7,10,3,3,2.1,5.92848,NA,NA,2,0,NA,NA,NA,0,3,3,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,30,2019-08-22T12:00:00Z,0.1,260.5,6.5,3,3,5,3.1,6.35808,NA,NA,2,0,NA,NA,NA,7,7,3,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,45,2019-08-22T12:00:00Z,0.1,251.2,11.2,3,3,5,2.4,4.448649746,NA,NA,2,0,NA,NA,NA,7,73,3,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,50,2019-08-22T12:00:00Z,0.1,150.5,13,5,5,6,2.7,4.55376,NA,NA,2,0,NA,NA,NA,73,73,0,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,20,2019-09-20T12:00:00Z,0.1,221.5,18.4,6,3,4,3.3,13.7472,NA,NA,2,0,NA,NA,NA,7,73,0,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,30,2019-09-20T12:00:00Z,0.1,296.5,18.1,3,3,14,3.3,13.7472,NA,NA,2,0,NA,NA,NA,7,73,3,0,3,0,0,NA,FALSE,FALSE,FALSE
BVR,45,2019-09-20T12:00:00Z,0.1,223.5,14.2,3,3,6,2.9,8.592,NA,NA,2,0,NA,NA,NA,7,73,3,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,50,2019-09-20T12:00:00Z,0.1,245.5,25.2,4,3,3,2.5,10.10823529,NA,NA,2,0,NA,NA,NA,7,73,0,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,20,2019-10-04T12:00:00Z,0.1,167,19.3,8,3,0,3.5,14.09088,NA,NA,2,0,NA,NA,NA,73,73,0,0,43,0,0,NA,FALSE,FALSE,FALSE
BVR,30,2019-10-04T12:00:00Z,0.1,425.5,18.7,8,4,8,3.9,15.80928,NA,NA,2,0,NA,NA,NA,7,73,0,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,45,2019-10-04T12:00:00Z,0.1,420,14.9,4,3,0,3.3,8.24832,NA,NA,2,0,NA,NA,NA,0,3,0,0,43,0,0,NA,FALSE,FALSE,FALSE
BVR,50,2019-10-04T12:00:00Z,0.1,252,17.1,5,3,9,3.2,8.592,NA,NA,2,0,NA,NA,NA,7,73,0,0,0,7,0,NA,NA,NA,NA
FCR,20,2019-04-29T12:00:00Z,0.1,175.5,6.9,3,0,1,2.1,1.83296,NA,NA,1,0,NA,NA,NA,3,0,3,43,3,0,0,NA,FALSE,FALSE,FALSE
FCR,30,2019-04-29T12:00:00Z,0.1,121.5,6.2,3,0,1,2.2,2.0048,NA,NA,1,0,NA,NA,NA,3,0,3,43,3,0,0,NA,FALSE,FALSE,FALSE
FCR,45,2019-04-29T12:00:00Z,0.1,160.5,13.1,3,0,1,4.1,2.0048,NA,NA,1,0,NA,NA,NA,3,3,3,43,3,0,0,NA,FALSE,FALSE,FALSE
FCR,50,2019-04-29T12:00:00Z,0.1,265.8,12.8,12,3,3,3.1,1.83296,NA,NA,1,0,NA,NA,NA,7,73,3,0,0,7,0,NA,NA,NA,NA
FCR,20,2019-05-30T12:00:00Z,0.1,117,7.2,4,3,3,2.2,4.81152,NA,NA,1,0,NA,NA,NA,3,0,0,0,0,0,0,NA,FALSE,FALSE,FALSE
FCR,30,2019-05-30T12:00:00Z,0.1,144,8.1,3,0,1,NA,4.63968,NA,NA,1,0,NA,NA,NA,3,0,3,43,3,NA,0,NA,NA,NA,NA
FCR,45,2019-05-30T12:00:00Z,0.1,117,7.2,11,0,2,2.7,4.63968,NA,NA,1,0,NA,NA,NA,3,0,3,43,0,0,0,NA,FALSE,FALSE,FALSE
FCR,50,2019-05-30T12:00:00Z,0.1,242.8,6.9,14,3,2,4,3.78048,NA,NA,1,0,NA,NA,NA,7,7,3,0,0,7,0,NA,NA,NA,NA
FCR,20,2019-06-27T12:00:00Z,0.1,285,6.8,10,3,12,3.6,9.62304,NA,NA,1,0,NA,NA,NA,0,0,0,0,3,0,0,NA,FALSE,FALSE,FALSE
FCR,30,2019-06-27T12:00:00Z,0.1,327,17.2,8,1,8,5,8.592,NA,NA,1,0,NA,NA,NA,0,3,7,73,7,7,0,NA,NA,NA,NA
FCR,45,2019-06-27T12:00:00Z,0.1,304.5,9.3,20,0,11,3.5,10.0956,NA,NA,1,0,NA,NA,NA,0,0,73,73,73,7,0,NA,NA,NA,NA
FCR,50,2019-06-27T12:00:00Z,0.1,387,8.2,24,3,10,3.5,7.21728,NA,NA,1,0,NA,NA,NA,7,7,3,0,3,7,0,NA,NA,NA,NA
FCR,20,2019-07-18T12:00:00Z,0.1,NA,NA,5,0,8,4.7,18.21504,NA,NA,2,0,NA,NA,NA,NA,NA,7,743,7,7,0,NA,NA,NA,NA
FCR,30,2019-07-18T12:00:00Z,0.1,309,9.2,3,3,4,3.9,17.184,NA,NA,2,0,NA,NA,NA,0,0,3,0,0,0,0,NA,FALSE,FALSE,FALSE
FCR,45,2019-07-18T12:00:00Z,0.1,309,9.9,7,3,5,4.5,14.09088,NA,NA,2,0,NA,NA,NA,0,0,0,0,0,0,0,NA,FALSE,FALSE,FALSE
FCR,50,2019-07-18T12:00:00Z,0.1,361.5,10.1,17,5,5,4.4,15.12192,NA,NA,2,0,NA,NA,NA,0,3,3,0,0,0,0,NA,FALSE,FALSE,FALSE
FCR,20,2019-08-22T12:00:00Z,0.1,756,28,4,3,7,4.4,41.48708571,NA,NA,2,0,NA,NA,NA,7,73,0,0,0,0,0,NA,FALSE,FALSE,FALSE
FCR,30,2019-08-22T12:00:00Z,0.1,676.5,27.8,5,8,8,5.3,36.6592,NA,NA,2,0,NA,NA,NA,7,73,0,0,0,0,0,NA,FALSE,FALSE,FALSE
FCR,45,2019-08-22T12:00:00Z,0.1,874,36.8,4,3,18,5.5,36.0864,NA,NA,2,0,NA,NA,NA,7,73,0,0,3,0,0,NA,FALSE,FALSE,FALSE
